OID_,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11
527,313902,32.243600000000001,37.179499999999997,35.675699999999999,13.787100000000001,35.380000000000003,79.687500000000000,36.802599999999998,16.493099999999998,97.500000000000000,0.000000000000000
528,313903,56.165300000000002,42.375799999999998,49.200000000000003,7.410900000000000,56.969999999999999,97.024799999999999,57.913499999999999,9.834700000000000,96.283400000000000,1.528300000000000
529,313904,35.241399999999999,27.336400000000001,38.721100000000000,7.818700000000000,45.430000000000000,77.926400000000001,37.377800000000001,3.929800000000000,98.052999999999997,2.375400000000000
530,313905,19.549700000000001,18.286700000000000,12.268500000000000,6.084700000000000,47.219999999999999,77.284899999999993,18.158999999999999,4.166700000000000,78.638099999999994,4.832500000000000
531,313906,11.335900000000001,6.236800000000000,15.335500000000000,0.975600000000000,58.240000000000002,67.919300000000007,5.525800000000000,0.733300000000000,57.016399999999997,8.175300000000000
532,313907,7.149000000000000,1.470800000000000,16.581099999999999,1.389200000000000,52.189999999999998,68.726500000000001,7.060600000000000,0.952900000000000,55.207799999999999,13.528300000000000
533,314001,39.896799999999999,45.270899999999997,30.434799999999999,17.668099999999999,51.070000000000000,91.056899999999999,48.710599999999999,13.588900000000001,99.355099999999993,0.988800000000000
534,314002,87.264799999999994,87.135900000000007,74.358999999999995,14.640900000000000,40.380000000000003,100.000000000000000,65.158400000000000,28.431400000000000,97.834500000000006,0.077300000000000
535,314003,45.339500000000001,49.597200000000001,24.390200000000000,12.035000000000000,41.920000000000002,87.620599999999996,49.878100000000003,4.019300000000000,100.000000000000000,0.863100000000000
536,314004,57.710999999999999,62.459400000000002,46.041699999999999,12.669700000000001,50.200000000000003,95.629000000000005,55.122700000000002,16.631100000000000,99.472399999999993,0.000000000000000
537,314005,52.671500000000002,51.874000000000002,39.256200000000000,7.139000000000000,53.789999999999999,92.345399999999998,53.750000000000000,11.678100000000001,99.760800000000003,2.232900000000000
538,314006,43.601900000000001,55.568700000000000,25.118500000000001,16.666699999999999,42.049999999999997,72.058800000000005,56.983199999999997,0.000000000000000,100.000000000000000,0.000000000000000
539,314007,39.143099999999997,56.862699999999997,41.401299999999999,17.060600000000001,44.579999999999998,95.423299999999998,44.901100000000000,14.874100000000000,100.000000000000000,0.508400000000000
540,314008,58.918199999999999,56.936300000000003,46.002200000000002,14.119800000000000,41.350000000000001,94.183000000000007,46.551000000000002,13.333299999999999,98.647700000000000,0.886000000000000
541,314101,18.495799999999999,15.877400000000000,17.452800000000000,3.924000000000000,69.700000000000003,79.388599999999997,9.858200000000000,5.621300000000000,52.479100000000003,13.426200000000000
