"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
55,1,6.9425,7561.7437,286.2041,502.6552
55,2,7.0507,6619.089,286.2041,80.7594
55,3,26.4909,28975.313,286.2041,87.6054
55,4,6.8412,10086.9509,286.2041,161.5849
55,5,5.7076,6376.0264,286.2041,159.266
56,1,8.167,8711.2852,178.8606,502.6552
56,2,5.8485,5490.5251,178.8606,80.7594
56,3,27.3793,28722.2877,178.8606,87.6054
56,4,8.0657,11236.4924,178.8606,161.5849
56,5,6.9321,7525.5679,178.8606,159.266
57,1,7.1859,10537.7645,30.1305,502.6552
57,2,3.4423,3231.6139,30.1305,80.7594
57,3,23.3234,25758.2352,30.1305,87.6054
57,4,10.9421,17510.1567,30.1305,161.5849
57,5,5.951,8435.7419,30.1305,159.266
58,1,6.4843,10795.09,110.8005,502.6552
58,2,3.8396,4074.2712,110.8005,80.7594
58,3,22.749,26600.8926,110.8005,87.6054
58,4,10.2405,17853.899,110.8005,161.5849
58,5,5.2494,8693.0674,110.8005,159.266
59,1,6.6936,9649.1234,23.0716,502.6552
59,2,2.3062,2165.067,23.0716,80.7594
59,3,24.6374,26779.9164,23.0716,87.6054
59,4,10.4499,16037.3574,23.0716,161.5849
59,5,5.4588,7547.1008,23.0716,159.266
60,1,7.2386,10357.6177,87.9818,502.6552
60,2,3.0609,2873.5613,87.9818,80.7594
60,3,23.8827,26071.4221,87.9818,87.6054
60,4,10.9949,16745.8517,87.9818,161.5849
60,5,6.0037,8255.5951,87.9818,159.266
61,1,5.826,9158.9437,159.961,502.6552
61,2,4.4305,4159.3165,159.961,80.7594
61,3,24.5373,26685.9378,159.961,87.6054
61,4,9.5822,16217.7527,159.961,161.5849
61,5,4.5911,7056.9211,159.961,159.266
62,1,8.9503,13837.0207,112.7516,502.6552
62,2,5.9432,6206.3113,112.7516,80.7594
62,3,24.8526,28262.5034,112.7516,87.6054
62,4,12.7065,20895.8297,112.7516,161.5849
62,5,7.7154,11734.9981,112.7516,159.266
63,1,7.6721,11692.2987,353.2828,502.6552
63,2,5.5689,5450.6839,353.2828,80.7594
63,3,24.4783,27977.3053,353.2828,87.6054
63,4,11.4283,18751.1077,353.2828,161.5849
63,5,6.4372,9590.2761,353.2828,159.266
64,1,7.511,11212.2985,92.3203,502.6552
64,2,6.1099,5735.8961,92.3203,80.7594
64,3,25.1345,28262.5174,92.3203,87.6054
64,4,11.2673,18271.1075,92.3203,161.5849
64,5,6.2761,9110.2759,92.3203,159.266
65,1,6.4395,10206.3179,264.2964,502.6552
65,2,5.0383,4729.9155,264.2964,80.7594
65,3,24.063,27256.5369,264.2964,87.6054
65,4,10.1957,17265.1269,264.2964,161.5849
65,5,5.2046,8104.2953,264.2964,159.266
66,1,7.2532,11299.0531,40.7873,502.6552
66,2,5.15,5057.4383,40.7873,80.7594
66,3,24.0594,27584.0596,40.7873,87.6054
66,4,11.0094,18357.862,40.7873,161.5849
66,5,6.0183,9197.0305,40.7873,159.266
67,1,6.7549,10831.2176,141.8586,502.6552
67,2,4.6517,4589.6028,141.8586,80.7594
67,3,23.5611,27116.2242,141.8586,87.6054
67,4,10.5111,17890.0266,141.8586,161.5849
67,5,5.52,8729.195,141.8586,159.266
68,1,6.56,9002.6797,513.433,502.6552
68,2,5.2969,4972.6053,513.433,80.7594
68,3,26.2024,29309.9595,513.433,87.6054
68,4,10.3163,16061.4887,513.433,161.5849
68,5,5.3251,6497.1765,513.433,159.266
69,1,5.5817,8084.223,362.519,502.6552
69,2,4.3615,4094.5058,362.519,80.7594
69,3,25.267,28431.86,362.519,87.6054
69,4,9.3379,15143.032,362.519,161.5849
69,5,4.3468,5578.7198,362.519,159.266
70,1,5.39,8887.3324,226.7698,502.6552
70,2,4.0112,4227.6659,226.7698,80.7594
70,3,23.8432,27384.0495,226.7698,87.6054
70,4,9.1463,15946.1414,226.7698,161.5849
70,5,4.1552,6785.3098,226.7698,159.266
